date,building,students_present,temperature_c,ac_hours_per_day,solar_generated_kwh,electricity_kwh,water_liters,waste_kg
2025-01-01,Engineering Block,434,13.7,0.0,427.7,1137.4,14177.0,221.7
2025-01-01,Science Block,325,13.7,0.0,445.7,912.1,12163.6,147.8
2025-01-01,Admin Block,107,13.7,0.0,224.8,566.9,6103.7,62.8
2025-01-01,Student Hostel,1500,13.7,0.0,228.5,2130.6,46523.7,708.7
2025-01-01,Central Library,232,13.7,0.0,277.8,690.8,6461.4,75.4
2025-01-02,Engineering Block,487,15.8,0.0,461.2,1156.0,15879.6,215.2
2025-01-02,Science Block,344,15.8,0.0,441.3,955.3,12578.8,192.0
2025-01-02,Admin Block,110,15.8,0.0,248.5,653.8,6067.9,49.6
2025-01-02,Student Hostel,1500,15.8,0.0,267.4,2129.3,47609.2,678.3
2025-01-02,Central Library,236,15.8,0.0,257.7,675.6,7797.7,96.0
2025-01-03,Engineering Block,492,15.2,0.0,495.8,1175.6,15498.0,208.1
2025-01-03,Science Block,341,15.2,0.0,442.8,932.4,13244.9,155.6
2025-01-03,Admin Block,125,15.2,0.0,263.8,608.9,6777.7,52.8
2025-01-03,Student Hostel,1500,15.2,0.0,221.6,2131.6,47014.5,632.9
2025-01-03,Central Library,245,15.2,0.0,241.3,700.2,6649.1,92.2
2025-01-04,Engineering Block,72,16.8,0.0,418.6,821.9,11202.6,93.6
2025-01-04,Science Block,57,16.8,0.0,467.8,732.4,8974.2,73.3
2025-01-04,Admin Block,18,16.8,0.0,281.3,449.7,3978.5,27.1
2025-01-04,Student Hostel,1350,16.8,0.0,254.7,1980.2,44792.8,609.7
2025-01-04,Central Library,36,16.8,0.0,304.9,505.2,5464.9,42.1
2025-01-05,Engineering Block,72,17.1,0.0,462.8,834.1,10670.0,100.7
2025-01-05,Science Block,57,17.1,0.0,495.5,673.1,9325.6,89.0
2025-01-05,Admin Block,18,17.1,0.0,278.2,379.0,4422.3,44.0
2025-01-05,Student Hostel,1350,17.1,0.0,269.9,1952.5,43711.5,648.5
2025-01-05,Central Library,36,17.1,0.0,272.9,537.1,4746.2,46.7
2025-01-06,Engineering Block,428,17.0,0.0,474.5,1118.5,14376.6,209.4
2025-01-06,Science Block,337,17.0,0.0,420.8,947.4,11948.2,170.6
2025-01-06,Admin Block,125,17.0,0.0,238.8,617.4,7147.6,64.5
2025-01-06,Student Hostel,1500,17.0,0.0,239.6,2113.3,47041.4,720.8
2025-01-06,Central Library,245,17.0,0.0,347.8,751.5,8287.4,54.2
2025-01-07,Engineering Block,454,14.7,0.0,423.6,1150.6,15429.9,225.4
2025-01-07,Science Block,382,14.7,0.0,434.1,897.5,13695.3,150.6
